id_gares;nom_gares;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto
967;Tournan;RER E;E;RER;0;RER E;0;0;0;SNCF;1;1;682264.3099;6848845.6925;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/528f29b53fa23aaf2d4c4f0b14c0bf87
893;Vigneux-sur-Seine;RER D;D;RER;0;0;0;0;0;SNCF;1;0;656871.3837;6845491.2648;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/e7ed6bbd66f9796902fee75b4b443a54
904;Villeparisis-Mitry-le-Neuf;RER B;B;RER;0;0;0;0;0;SNCF;1;0;670934.6343;6872649.5013;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
423;La Muette;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;646744.2367;6862245.8557;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a
9;Orly 4;ORLYVAL;ORL;VAL;0;0;0;0;ORLYVAL;RATP Dev;1;1;653655.4768;6847840.1804;
133;Cernay;TRAIN H;H;TRAIN;0;0;0;0;0;SNCF;1;0;645653.172;6876374.6171;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3544694520ec675b39cbddf7993a4b79
622;Parc de Sceaux;RER B;B;RER;0;0;0;0;0;RATP;1;0;649281.2192;6852384.2514;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
744;Aéroport Charles De Gaulle 2-TGV;RER B;B;RER;0;RER B;0;0;0;SNCF;1;1;668582.2523;6878393.4208;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1
832;Saint-Ouen;RER C;C;RER;0;0;0;0;0;SNCF;1;0;650344.9256;6867387.0104;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c
834;Saint-Ouen-l'Aumône - Quartier de l'Église;TRAIN J;J;TRAIN;0;0;0;0;0;SNCF;1;0;634449.2845;6882492.0391;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/eb304b4c7df86e2202acf8e0ac539751
152;Charles De Gaulle-Étoile;METRO 1;1;METRO;0;0;0;0;0;RATP;1;0;648356.9845;6864133.201;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4
345;Havre-Caumartin;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;650687.2939;6863953.16;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a
973;Noisy-le-Sec;TRAM 1;1;TRAMWAY;0;0;0;TRAM 1;0;RATP;1;0;660432.5846;6866347.3039;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4
1181;Saint-Denis;TRAM 8;8;TRAMWAY;0;0;0;0;0;RATP;1;0;652223.0122;6870785.1767;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de
578;Nanterre-Université;RER A;A;RER;0;0;0;0;0;RATP;1;1;642345.8425;6867065.7254;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2922fd9716bdb3b0487b2960b932652a
197;Commerce;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;648183.5662;6860759.2738;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51
543;Michel Ange-Auteuil;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;645994.7057;6861124.0745;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a
459;Les Gobelins;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;652475.29;6859736.7848;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
489;Madeleine;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;650579.0401;6863500.3584;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51
496;Mairie d'Ivry;METRO 7;7;METRO;0;0;METRO 7;0;0;RATP;1;0;654783.53;6856892.9064;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
848;Télégraphe;METRO 11;11;METRO;0;0;0;0;0;RATP;1;0;655909.0693;6864106.8825;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94
389;Kléber;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;648157.7063;6863702.6675;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0
533;Ménilmontant;METRO 2;2;METRO;0;0;0;0;0;RATP;1;0;654781.3662;6863111.7042;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1
38;Paris Austerlitz;RER C;C;RER;0;0;0;0;0;SNCF;1;1;653427.3991;6860462.7023;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/591a3d854462a7db2751395e662d4e2c
561;Montparnasse;TRAIN N;N;TRAIN;TRAIN N;0;0;0;0;SNCF;1;1;650129.0864;6860341.0198;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6c2116392b125e3a2f6d9d754db243a8
539;Meudon-sur-Seine;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;1;0;644093.8494;6857948.3523;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886
